artista,resumen,popularidad,reproducciones,similares
Skwatta kamp,"Skwatta Kamp is a South African Hip hop group from Soweto, Johannesburg consisting of seven MCs called Slikour, Shugasmakx, Nish, Flabba, Bozza, Nemza and Infa. Until now, they have released 5 albums, 3 of them gold. <a href=""https://www.last.fm/music/Skwatta+Kamp"">Read more on Last.fm</a>",2466,14680,"['Brown Dash', 'Aba Shante', 'Mzekezeke feat Brown', ""M'Du"", 'TKZEE']"
Los Prisioneros,"Los Prisioneros was a Chilean rock band formed in San Miguel, Santiago, Chile in 1982 by Jorge González (bass, vocals), Claudio Narea (guitar, backing vocals) and Miguel Tapia (drums, backing vocals). They began as a local band during the early 1980s, playing small shows in their neighborhood and high school. After selling a limited press number of their first album in Chile under the independent Fusión producciones label, they signed to EMI in 1985, re-releasing the same album on an LP record and Cassette. <a href=""https://www.last.fm/music/Los+Prisioneros"">Read more on Last.fm</a>",257762,7709249,"['Los Tres', 'Los Bunkers', 'Jorge González', 'Los Jaivas', 'Pettinellis']"
N'Toko,"Miha Blažič-N'toko was born 1980 in Novo mesto, Slovenia, but spent a large part of his youth in Los Angeles. His first contacts with music came through travelling around Europe, colaborating with musicians in Paris. Inspired by the French jungle, hiphop and reggae scene, he joined forces with guitarist Uroš Weinberger and bass-player/rapper Goran Balog to form Moveknowledgement, a group which explored the heritige of acid-jazz while flirting with dub, drum'n'bass and of course hiphop. <a href=""https://www.last.fm/music/N%27toko"">Read more on Last.fm</a>",1203,55310,"['Moveknowledgement', 'ALI EN', 'Klemen Klemen', 'Trkaj', 'Melodrom']"
Grupo Latin Vibe,"Originally known as “TNT MIX”, Anibal “Tito” Rivera and Tommy Mattioli embarked on a musical journey, when they met in the 90's, later reducing the band to 7 pieces now known as Grupo Latin Vibe.

  ANIBAL TITO RIVERA - Composer / Arranger, congero, and lead vocalist Self-taught in the art of playing guitar / Cuatro and congas, born in Brooklyn, NY de sangre Boricua blessed with the ability to spontaneously create swinging melodies, and lyrics at an early age. <a href=""https://www.last.fm/music/Grupo+Latin+Vibe"">Read more on Last.fm</a>",3823,72046,"['New Swing Sextet', 'La Maxima 79', 'El Timba', 'La Excelencia', 'The New Swing Sextet']"
Diam's,"Diam's (born July 25, 1980 in Cyprus) is a French-language rap artist.

Her family moved to Paris in 1984 . She appeared in a song on DJ Mehdi's album ""(The Story Of) Espion"".

In 1998, when she was just 18 years old, Diam's signed a development deal with BMG Music Publishing France. With the publisher's help, Diam's worked on her craft and signed with Universal Records in 1999.

2003's Brut de Homme was her breakthrough, reaching gold and spawning the top 10 single ""DJ. <a href=""https://www.last.fm/music/Diam%27s"">Read more on Last.fm</a>",99976,1176220,"['Soprano', 'Fatal Bazooka', ""Sexion d'Assaut"", 'Youssoupha', 'La Fouine']"
Fountains Of Wayne,"Fountains of Wayne were an American power pop band that formed in 1995. The group helped spearhead the 90s power pop revival and achieved breakout mainstream success with the 2003 Gold-certified album 'Welcome Interstate Managers', which spawned the hit ""Stacy's Mom"". Having achieved critical acclaim throughout their career, the band consisted of the late Adam Schlesinger, Brian Young, Chris Collingwood, and Jody Porter, last releasing 'Sky Full of Holes' in 2011. <a href=""https://www.last.fm/music/Fountains+of+Wayne"">Read more on Last.fm</a>",1175767,14959983,"['Superdrag', 'Matthew Sweet', 'Teenage Fanclub', 'Jellyfish', 'The Posies']"
The Roots,"The Roots, also known as The Legendary Roots Crew, The Square Roots and The Foundation, are an influential, Grammy winning hip hop group based out of Philadelphia, Pennsylvania, famed for a heavily jazzy sound and live instrumentation. Inspired by the ""hip-hop band"" concept pioneered by Stetsasonic, the Roots themselves have garnered critical acclaim and influenced later hip-hop and R&B acts.

The Roots' original lineup included Black Thought (MC vocals) and Ahmir ""?uestlove"" Thompson (drums) <a href=""https://www.last.fm/music/The+Roots"">Read more on Last.fm</a>",1817835,50231050,"['Common', 'Reflection Eternal', 'Black Thought', 'Black Star', 'Mos Def']"
Obie Trice,"Obie Trice III (real name, no gimmicks, born November 14, 1977) is an American rap artist and songwriter. He began rapping at the age of 11, and is most known for his time spent signed to Shady Records. He also has his own record label,  Black Market Entertainment.

Obie Trice III was born and raised in Detroit, Michigan by his mother, along with three brothers. He is of African American and German descent. Trice was given a karaoke machine by his mother when he was eleven and he used it to rhyme over instrumentals from artists such as N. <a href=""https://www.last.fm/music/Obie+Trice"">Read more on Last.fm</a>",897694,5587909,"['D12', 'Stat Quo', 'Bad Meets Evil', 'Xzibit', 'G-Unit']"
Grinspoon,"Grinspoon are an Australian rock band from Lismore, New South Wales; formed in 1995 and fronted by Phil Jamieson on vocals and guitar with Pat Davern on guitar, Joe Hansen on bass guitar and Kristian Hopes on drums. Also in 1995, they won the Triple J-sponsored Unearthed competition for Lismore, with their post-grunge song ""Sickfest"". Their name was taken from Dr. Lester Grinspoon an Associate Professor Emeritus of Psychiatry at Harvard Medical School, who supports marijuana for medical use. <a href=""https://www.last.fm/music/Grinspoon"">Read more on Last.fm</a>",133383,2421221,"['Jebediah', 'Powderfinger', 'Regurgitator', 'The Living End', 'Spiderbait']"
Rapsusklei,"Rapsusklei es el nombre artístico de Diego Gil Fernández, artista de hip hop (MC) de Zaragoza.
La carrera de este llamado “Niño de la selva” empieza en las calles del barrio de la Magdalena de Zaragoza: Allá por 1990 Rapsusklei, con tan sólo 10 años, empezaba a hacer sus primeras canciones de rap influenciado por los grupos punteros del rap americano de aquellos años (Public Enemy, Ice Cube, Cypress Hill..). Por aquel entonces su nombre artístico era el Puto Sark. <a href=""https://www.last.fm/music/Rapsusklei"">Read more on Last.fm</a>",31519,629469,"['Hazhe', 'Shotta', 'Xhelazz', 'ZPU', 'Juaninacka']"
Clandestien,"Clandestien are a hip hop group hailing from Perth, Western Australia. The group consists of MC's Graphic and Tomohawk, and DJ Mortar. They are part of the Perth hip hop crew Syllabolix, who's artists appear on many tracks.

Clandestien are widely known for their raw, abrasive lyrics and beats, and violent often disturbing content; though their songs are often full of political and social messages.

The group have released a demo, a self titled LP, and the album Dynasty so far. <a href=""https://www.last.fm/music/Clandestien"">Read more on Last.fm</a>",2159,31574,"['Hospice Crew', 'Lyrical Commission', 'Hyjak', 'Brad Strut', 'Muphin']"
Pedro Abrunhosa,"He was born in the city of Porto.
He initiates his musical studies in 1972, passing through the School of Music of Porto, having, in 1978, initiated the instrument study - contrabass, instrument of which will be professor in the School of Jazz of the Hot-Club of Lisboa and in the School of Music of Porto. 

He is founding of the School of Jazz of Porto, where he teaches the chairs of Harmony, Trainings Auditory and Group Music, and where establishes and diriges the Orchestra of the School of Jazz of Porto.  <a href=""https://www.last.fm/music/Pedro+Abrunhosa"">Read more on Last.fm</a>",21026,305805,"['Paulo Gonzo', 'João Pedro Pais', 'Quinta Do Bill', 'Humanos', 'Per7ume']"
Sukima Switch,"Sukima Switch (スキマスイッチ?) is a Japanese jazz fusion duo consisting of core members Takuya Ōhashi (大橋卓弥, Ōhashi Takuya?), born May 9, 1978, and Shintarō Tokita (常田真太郎, Tokita Shintarō?), born February 25, 1978, formed in 2003. Formerly part of BMG Japan (bought by SMEJ in early 2009), they are part of Sony Music Japan's Areola Japan label since September 2009.

Ōhashi's musical duties include vocals, guitar, and harmonica while Tokita's duties include piano/keyboard <a href=""https://www.last.fm/music/+noredirect/Sukima+Switch"">Read more on Last.fm</a>",104409,1161864,[]
Pancho Teran," <a href=""https://www.last.fm/music/PANCHO+TERAN"">Read more on Last.fm</a>",731,4983,"['Sergio Sacoto', 'Tercer Mundo', 'Los Intrepidos', 'Verde 70', 'AU-D']"
Beat De Boul," <a href=""https://www.last.fm/music/Beat+de+Boul"">Read more on Last.fm</a>",4797,34983,"[""Mo'vez Lang"", 'La Cliqua', 'Pit Baccardi', 'Rocca', 'Ol Kainry']"
Fabolous,"John David Jackson (born November 18, 1977 in Brooklyn, New York), better known by his stage name Fabolous, is a Grammy award nominated American rapper, actor and designer signed to Def Jam Records. He released his debut album, Ghetto Fabolous in 2001 and has since released 2003's Street Dreams, 2004's Real Talk and 2007's From Nothin' To Somethin', all of which have collectively sold over four million copies in the United States. His fourth studio album, Loso's Way, was released in July of 2009 and debuted at #1 on the Billboard 200 chart. <a href=""https://www.last.fm/music/Fabolous"">Read more on Last.fm</a>",1786870,14828376,"['Jadakiss', 'Lloyd Banks', 'T.I.', ""Cam'ron"", 'The Lox']"
IAM,"IAM was first formed in late 1985 by Akhenaton and Khéops in Marseille, France, under the initial name Lively Crew. Lively Crew became B.Boys Stance some time during summer 1987, after which it was joined by Shurik'n, Freeman and Imhotep. In 1989 the group was renamed IAM, and they produced their first album, IAM Concept which was released the following year. They signed a contract with Virgin, and went on to publish the album De la planète Mars in 1991, which became a major hit in France. <a href=""https://www.last.fm/music/IAM"">Read more on Last.fm</a>",181318,4150403,"['Suprême NTM', 'Akhenaton', ""Shurik'n"", 'Fonky Family', 'Oxmo Puccino']"
Wolfmother,"Wolfmother is a Grammy Award-winning hard rock band formed in Sydney, New South Wales in 2000. The band originally consisted of Andrew Stockdale (guitar, vocals), Chris Ross (bass, keyboards), and Myles Heskett  (drums), though Ross and Heskett left the band in August 2008. With the original line up Wolfmother released one album, Wolfmother, and six singles, the highest-charting of which was ""Joker and the Thief"" which reached number eight in Australia. <a href=""https://www.last.fm/music/Wolfmother"">Read more on Last.fm</a>",1850082,37188853,"['Eagles of Death Metal', 'Them Crooked Vultures', 'Jet', 'Rival Sons', 'Queens of the Stone Age']"
MGMT,"MGMT are an American alternative band which formed in 2002 in Middletown, Connecticut, United States. The band's founding members, Andrew VanWyngarden (lead vocalist, primary songwriter, multi-instrumentalist) and Ben Goldwasser (backing vocalist, multi-instrumentalist), met while attending Wesleyan University, and have remained as the core of the group to this day.

They intially named their project The Management, under which they recorded two demo EPs (which ended up being unofficially leaked online in 2005 as Climbing to New Lows) <a href=""https://www.last.fm/music/MGMT"">Read more on Last.fm</a>",4474330,168484820,"['Vampire Weekend', 'Pond', 'Starfucker', 'Animal Collective', 'Tame Impala']"
Pimpinela,"El dúo Pimpinela es un dueto argentino de música compuesto por los hermanos Lucía Galán y Joaquín Galán conocidos bajo los alias de Lucía y Joaquín.
María Graciela Galán Cuervo (23 de mayo de 1961) y Joaquín Roberto Galán Cuervo (23 de mayo de 1953), nacieron en Buenos Aires, Argentina, ambos hermanos, mejor conocidos como Pimpinela; provienen de una familia española, de padre asturiano y madre leonesa. Desde su infancia en la capital argentina <a href=""https://www.last.fm/music/Pimpinela"">Read more on Last.fm</a>",105930,988990,"['Marisela', 'Daniela Romo', 'Ana Gabriel', 'Camilo Sesto', 'Myriam Hernández']"
Ruffedge," <a href=""https://www.last.fm/music/Ruffedge"">Read more on Last.fm</a>",2951,30386,"['Anuar Zain', 'Misha Omar', 'Jamal Abdillah', 'Aishah', 'Ziana Zain']"
Robin Thicke,"Robin Charles Thicke (born March 10, 1977 in Los Angeles, California) is a Grammy-winning American pop and R&B singer-songwriter, producer, and actor signed to Pharrell Williams' Star Trak label. Also known for being the son of performer Alan Thicke, he released his debut album, called 'A Beautiful World', in 2003. He has gone on to release 2006's 'The Evolution of Robin Thicke', 2008's 'Something Else', 2009's 'Sex Therapy', 2011's 'Love After War', 2013's 'Blurred Lines', and 2014's 'Paula'. <a href=""https://www.last.fm/music/Robin+Thicke"">Read more on Last.fm</a>",1592053,17598841,"['Toni Braxton', 'John Legend', 'Babyface', 'India.Arie', 'Justin Timberlake']"
Gabriel Rios,"Born in 1978 in Puerto Rico, Gabriel Rios soon chose a path which few from his kin before him did. A blonde angel whispered that he should follow her lead. Young Gabriel kicked his heels and travelled through turbulent clouds, ending up in  a city that was not his, but which he embraced. Enter a new-found posse. Being a bunch of young wolves, they started playing music, created a way to communicate their thoughts to the outer world and christened themselves The Nothing Bastards. They toured the country. <a href=""https://www.last.fm/music/Gabriel+Rios"">Read more on Last.fm</a>",224922,2179589,"['Daan', 'Arsenal', 'Absynthe Minded', 'Das Pop', 'Admiral Freebee']"
Black Noise,"Black Noise is a name of at least seven acts:

1) A fidget house off-shoot of the breaks group Aquasky, which débuted with the EP ""EP.01"" (Jul 2009, Southern Fried) and their latest is ""EP.02"" (Oct 2009, Southern Fried).

Sites: Discogs

2) A South African hip-hop group.

Sites: Discogs

3) A Detroit, MI, USA detroit techno group.

Sites: Discogs

4) A Drew Mulholland pseudonym, used to release the track ""The Postal Workers Night Out"" (Feb 2006, on v/a ""Not Alone"", Durtro). <a href=""https://www.last.fm/music/Black+Noise"">Read more on Last.fm</a>",10766,46416,"['Lee Mortimer & Foamo', 'The Bulgarian', 'Lee Mortimer', 'Kelevra', 'Disco of Doom']"
Beach House,"Beach House is an American dream pop band that formed in 2004 at Baltimore, Maryland, United States. The group consists of Victoria Legrand  (vocals, organ), who is the niece of French composer Michel Legrand, and Alex Scally (guitar, keyboards). Since their formation, the group has released eight studio albums: Beach House (2006), Devotion (2008), Teen Dream (2010), Bloom (2012), Depression Cherry (2015), Thank Your Lucky Stars (2015), 7 (2018), and Once Twice Melody (2022). <a href=""https://www.last.fm/music/Beach+House"">Read more on Last.fm</a>",2860382,187775676,"['Alvvays', 'Slowdive', ""Melody's Echo Chamber"", 'Castlebeat', 'The Radio Dept.']"
Sugarfree,"There are two bands with the name Sugarfree.

1) Sugarfree is a pop-rock band from Catania, Italy formed in 2000. The band is formed by Matteo Amantia Scuderi (singer), Vincenzo Pistone (keyboards), Carmelo Siracusa (bass), Luca Galeano (guitar), Giuseppe Lo Iacono (drums).

They hit the charts with the song ""Cleptomania"" in 2004 and they took part in the Sanremo Festival in 2006 with the song ""Solo lei mi dà"".

2) Sugarfree is a three-piece band from the Philippines composed of Mitch Singson on drums <a href=""https://www.last.fm/music/Sugarfree"">Read more on Last.fm</a>",75823,1410896,"['Up Dharma Down', 'Rico Blanco', 'Rivermaya', 'Eraserheads', 'Orange and Lemons']"
Chullage,"Portuguese rapper from Arrentela (Seixal), of Cape Verdean descent, born in Portugal in 1977. 
He is known for his politically and socially conscious rap. <a href=""https://www.last.fm/music/Chullage"">Read more on Last.fm</a>",3766,45338,"['Kacetado', 'Sir Scratch', 'Dealema', 'DJ Bomberjack', 'Black Mastah']"
Luiz Bonfá,"Luiz Bonfá (17 October 1922  – 12 January 2001) was a Brazilian guitarist and composer. He was best known for the compositions he penned for the film Black Orpheus.

Luiz Floriano Bonfá was born in Rio de Janeiro. He began teaching himself to play guitar as a child. He studied in Rio with Uruguayan classical guitarist Isaías Sávio from the age of 12. These weekly lessons entailed a long, harsh commute by rail and on foot from his family home <a href=""https://www.last.fm/music/+noredirect/Luiz+Bonf%C3%A1"">Read more on Last.fm</a>",397846,4862913,"['Tamba 4', 'Roberto Menescal E Seu Conjunto', 'João Donato', 'João Gilberto', 'Baden Powell']"
Gaiteros de Pillopo," <a href=""https://www.last.fm/music/Gaiteros+de+Pillopo"">Read more on Last.fm</a>",5016,33424,"['Gran Coquivacoa', 'Cardenales Del Exito', 'Maracaibo 15', 'Rincon Morales', 'Amor Y Gaita']"
Nik & Jay,"Nik & Jay is a Danish R&B / Hip-Hop / pop duo made of Niclas Genckel Petersen (born on 8 November 1980 in Herlev) and Jannik Brandt Thomsen (born on 16 June 1981). Duo created in Værløse, Denmark.

Their #2 single Hot! won them Hit of the Year and Best New Artist at the Danish Music Awards in 2003. Other hits have included En Dag Tilbage (One Day Left), Lækker (Hot in Danish), Kan Du Høre Hende Synge? (Can you hear her sing?) and Boing!.

They released a CD and DVD of their concert tour from 2003. <a href=""https://www.last.fm/music/Nik+&+Jay"">Read more on Last.fm</a>",55103,1581369,"['Rasmus Seebach', 'L.O.C.', 'Suspekt', 'Thomas Helmig', 'KESI']"
DJ Shadow,"Considered a prominent figure in the development of instrumental hip-hop, DJ Shadow (real name Josh Davis) has proven himself with groundbreaking, genre-defining solo output on such respected labels as Solesides and Mo' Wax.

DJ Shadow spent his teenage years in Davis, California and was a DJ at the community radio station KDVS. During his time as a radio disc jockey, DJ Shadow was significant in developing the experimental instrumental hip-hop style associated with the California-based Solesides record label. <a href=""https://www.last.fm/music/DJ+Shadow"">Read more on Last.fm</a>",1777102,50018542,"['RJD2', 'UNKLE', 'DJ Vadim', 'Tricky', 'Massive Attack']"
Abstract Rude,"Artist, songwriter, passionate performer with a hip hop lifestyle... ABSTRACT RUDE 1st hit the Los Angeles music scene back in '93 as a young teenager with an old soul. Longtime member of dance crew TRIBE UNIQUE, Abstract sprung into action under his 'big homies' umbrella, displaying his unique vocal talents while the Tribe would visually narrate his abstractions. They blew up talent shows and local showcases around L.A. & Hollywood, and eventually became known as A. <a href=""https://www.last.fm/music/Abstract+Rude"">Read more on Last.fm</a>",52508,441353,"['Abstract Rude & Tribe Unique', 'Abstract Tribe Unique', 'Sunspot Jonz', 'The Grouch & Eligh', 'Grayskul']"
Peter White,"Peter was born in England, as one of four kids, and soon learned to play a variety of instruments such as recorder, clarinet, cornet, trombone, violin, harmonica, and piano. What he was not given were any instructions in playing the guitar. Therefore Peter self-trained to play a few simple chords and felt intrigued by the influence of The Beatles and other 60s music at the time. In his late teenager years he waived going to college, electing instead to pursue a career in the music business. <a href=""https://www.last.fm/music/Peter+White"">Read more on Last.fm</a>",186682,2352345,"['Norman Brown', 'Boney James', 'Chuck Loeb', 'Euge Groove', 'Richard Elliot']"
Tabaré Cardozo,"Tabaré Cardozo es uno de los mayores exponentes del Carnaval uruguayo. Dentro de su “currículum”, encontramos su pasaje por murgas como Falta y Resto -donde hizo su debut en el Carnaval mayor-, y como Curtidores de Hongos, en la que cumpliendo las labores de letrista y director escénico, obtuvo el primer puesto en el concurso oficial del año 2004.
Con aire de nocturna y de bohemia Tabaré reúne en sus composiciones la fisonomía y el sentimiento del hombre cotidiano <a href=""https://www.last.fm/music/+noredirect/Tabar%C3%A9+Cardozo"">Read more on Last.fm</a>",4672,84245,"['Agarrate Catalina', 'Emiliano Y El Zurdo', 'Alejandro Balbis', 'El Alemán', 'Jaime Roos']"
Canned Heat,"Canned Heat is a blues-rock/boogie band that formed in Los Angeles in 1965. The group has been noted for its own interpretations of blues material as well as for efforts to promote the interest in this type of music and its original artists. It was launched by two blues enthusiasts, Alan Wilson (1943 – 1970) and Bob Hite (1943 – 1981), who took the name from Tommy Johnson's 1928 Canned Heat Blues, a song about an alcoholic who has desperately turned to drinking Sterno, generically called ""canned heat"". <a href=""https://www.last.fm/music/Canned+Heat"">Read more on Last.fm</a>",958737,9123777,"['Ten Years After', 'Johnny Winter', 'John Mayall', 'John Mayall & The Bluesbreakers', 'Savoy Brown']"
Norman Brown,"Since the release of his critically acclaimed 2002 album, Just Chillin' - which won a Grammy® in the prestigious Best Pop Instrumental Category - this innovative and original guitarist has been front and center in the fast evolving fusion of pop, R&B and jazz that has captured the imagination of true music aficionados across the country and around the world.

Now, with the release of West Coast Coolin', Norman Brown consolidates his reputation as <a href=""https://www.last.fm/music/Norman+Brown"">Read more on Last.fm</a>",171322,1779930,"['Boney James', 'Vincent Ingala', 'Euge Groove', 'Richard Elliot', 'Rick Braun']"
Ivan Ferreiro,"Fix your tags, this is Iván Ferreiro <a href=""https://www.last.fm/music/+noredirect/Ivan+Ferreiro"">Read more on Last.fm</a>",14154,333998,[]
Gokh-Bi System,"Childhood friends from the Dakar, Senegal hood of
Pikine Guinaw Rail-literally ""the other side of the
tracks""- Gokh-Bi System (pronounced Go Bee) reunite
rap with its ancient West African ancestors in a style
dubbed ""ancient meets urban.

""Formed in 1993 by three childhood friends: Mamadou
Ndiaye (Emcee), Diasse Pouye (Emcee), and Pape
Bathie Pouye (Music Director/Manager). The three
boys were transfixed by the conscious lyrics and powerful
messages found in hip hop and began creating <a href=""https://www.last.fm/music/Gokh-Bi+System"">Read more on Last.fm</a>",547,1749,"['Abass abass', 'Pee Froiss', 'Omzo', 'Positive Black Soul', 'Daara J']"
Blood of Abraham,"Blood of Abraham is an American hip-hop duo composed of Benyad (Benjamin Mor) and Mazik (David Saevitz), two 21-year-old rappers who share a singular vision of positivity based not on some naive idealism but on mutual regard for all cultures, people and religion. The group's brand of hardcore rap consisted not of gory street stories, but of simple truths communicated from a universal perspective. 

Their debut album, ""Future Profits""(1993), released on Ruthless Records <a href=""https://www.last.fm/music/Blood+Of+Abraham"">Read more on Last.fm</a>",3093,43357,"['Collective Efforts', '2Mex', 'Da Grassroots', 'Babbletron', 'Rumpletilskinz']"
Lady Pank,"Lady Pank is a popular Polish rock band. It was started in 1982 in Warsaw by Jan Borysewicz and Andrzej Mogielnicki. Its first famous song was ""Mała Lady Punk"" (Little Lady Punk). Lady Pank garnered some attention in the United States in 1986 when MTV placed the video for the band's single ""Minus Zero"" on heavy rotation.

Lady Pank is quite a curiosity on the Polish musical market. They got popular before they were actually... formed! The group, which was originally planning to call itself ""Żużel"" <a href=""https://www.last.fm/music/Lady+Pank"">Read more on Last.fm</a>",198762,9625002,"['Perfect', 'Wilki', 'T.Love', 'Budka Suflera', 'Kombi']"
Titi Robin," <a href=""https://www.last.fm/music/Titi+Robin"">Read more on Last.fm</a>",20257,134946,"['Susheela Raman', 'Les Yeux Noirs', 'Cesária Évora', 'Anouar Brahem', 'Tinariwen']"
JUVENILE,"There are multiple artists under the name 'Juvenile'

1 - New Orleans-based rapper Juvenile was born Terius Gray. After beginning his performing career while in his teens, he released a 1995 album on Warlock titled Being Myself. He eventually crossed paths with Cash Money label owners Ronald ""Suga Slim"" and Brian ""Baby"" Williams, who issued 1996's Solja Rags; the album became a major underground hit, and set the stage for the release of 1998's 400 Degreez. <a href=""https://www.last.fm/music/Juvenile"">Read more on Last.fm</a>",650991,3999744,"['Big Tymers', 'Hot Boy$', 'B.G.', 'Mystikal', 'Silkk The Shocker']"
